Year,Player,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank,Height (inches),Weight,Height ft2,Height in2,Hometown,Home state,"town, state",Birth Zip Code,College,College Wins (1999-2013),College Losses (1999-2013),Conference,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Ten Yd,Arms,Hands,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2012,Ryan Taylor,GNB,25,16,1,0,0,0,0,0,0,0,,0,1,11,11,0,TE,1,,88,,75,250,#N/A,#N/A,Winston-Salem,NC,"Winston-Salem, NC",27151,North Carolina,70,97,ACC,9/6/2000,7,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Brandon Tate,CIN,25,16,3,0,0,0,0,0,1,0,0,0,13,211,16.23,1,WR,25,,113,,73,195,#N/A,#N/A,Burlington,NC,"Burlington, NC",27215,North Carolina,70,97,ACC,7/13/2000,3,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Deems May,SEA,30,15,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,104,,76,263,#N/A,#N/A,Lexington,NC,"Lexington, NC",27292,North Carolina,70,97,ACC,3/6/1969,7,1992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Na Brown,PHI,24,16,2,0,0,0,0,0,0,0,,0,7,95,13.57,0,WR,10,,116,,73,196,6,1,Reidsville,NC,"Reidsville, NC",27320,North Carolina,70,97,ACC,2/22/1977,4,1999,0,4.56,0,0,0,40.5,40.5,110,0,0
2002,Randy Jordan,OAK,32,14,0,0,0,0,0,0,3,14,4.67,1,2,19,9.5,0,RB,9,,104,,70,207,6,1,Henderson,NC,"Henderson, NC",27536,North Carolina,70,97,ACC,6/6/1970,0,0,0,4.59,0,0,0,33.5,33.5,115,4.21,7.34
2012,Greg Little,CLE,23,16,16,0,0,0,0,0,2,15,7.5,0,53,647,12.21,4,WR,90,,51,,74,215,6,3,Durham,NC,"Durham, NC",27701,North Carolina,70,97,ACC,8/2/2000,2,2011,0,4.51,0,33.25,9.125,27,40.5,129,4.21,6.8
2000,Natrone Means,CAR,28,1,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,153,,70,245,#N/A,#N/A,Harrisburg,NC,"Harrisburg, NC",28075,North Carolina,70,97,ACC,4/26/1972,0,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Hakeem Nicks,NYG,24,13,11,0,0,0,0,0,0,0,,0,53,692,13.06,3,WR,87,,53,,73,210,6,1,Charlotte,NC,"Charlotte, NC",28201,North Carolina,70,97,ACC,7/28/2000,1,2009,11,4.51,0,33.5,10.5,0,36,0,0,0
2009,Willie Parker,PIT,29,14,3,0,0,0,0,0,98,389,3.97,0,6,64,10.67,1,RB,51,,59,,70,209,#N/A,#N/A,Clinton,NC,"Clinton, NC",28328,North Carolina,70,97,ACC,11/11/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Sam Aiken,CLE,30,3,0,0,0,0,0,0,0,0,,0,1,7,7,0,WR,1,,170,,74,204,6,2,Kenansville,NC,"Kenansville, NC",28349,North Carolina,70,97,ACC,12/14/1980,4,2003,0,4.59,0,0,0,0,39.5,121,0,7.22
2010,Alge Crumpler,NWE,33,16,10,0,0,0,0,0,0,0,,0,6,52,8.67,2,TE,17,,54,,74,262,6,3,Wilmington,NC,"Wilmington, NC",28401,North Carolina,70,97,ACC,12/23/1977,2,2001,0,4.76,0,0,0,22,34,112,4.43,7.38
2000,Leon Johnson,NYJ,26,3,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,154,,73,222,#N/A,#N/A,Morganton,NC,"Morganton, NC",28655,North Carolina,70,97,ACC,7/13/1974,0,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Giovani Bernard,CIN,22,16,0,0,0,0,0,0,170,695,4.09,5,56,514,9.18,3,RB,165,39,16,40,69,202,#N/A,#N/A,West Palm Beach,FL,"West Palm Beach, FL",33401,North Carolina,70,97,ACC,1/0/00,2,2013,25,4.53,1.53,28,9.375,19,33.5,122,4.12,6.91
2011,Richard Quinn,WAS,25,1,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,104,,75,260,6,4,Huntsville,AL,"Huntsville, AL",35801,North Carolina,70,97,ACC,9/6/1986,2,2009,0,4.88,0,0,0,24,32.5,119,4.62,7.5
2011,Zack Pianalto,TAM,22,13,0,0,0,0,0,0,0,0,,0,4,40,10,0,TE,4,,77,,75,245,#N/A,#N/A,Springdale,AR,"Springdale, AR",72762,North Carolina,70,97,ACC,5/27/1989,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Freddie Jones,ARI,30,16,15,0,0,0,0,0,0,0,,0,45,426,9.47,2,TE,55,,18,,76,260,#N/A,#N/A,Cheverly,MD,"Cheverly, MD",#N/A,North Carolina,70,97,ACC,9/16/1974,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,David Tyree,BAL,29,10,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,163,,73,205,#N/A,#N/A,Livingston,NJ,"Livingston, NJ",7039,Syracuse,81,101,ACC,1/3/1980,6,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Kyle Johnson,DEN,29,1,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,145,,73,242,6,1,Rahway,NJ,"Rahway, NJ",7065,Syracuse,81,101,ACC,12/15/1978,5,2002,0,4.74,0,0,0,22,34,119,4.35,7.4
2006,Johnnie Morant,OAK,25,10,2,0,0,0,0,0,0,0,,0,7,70,10,0,WR,7,,126,,76,229,6,4,Newark,NJ,"Newark, NJ",7101,Syracuse,81,101,ACC,12/7/1981,5,2004,0,4.51,1.63,34.375,9.375,0,41,130,4.26,7.35
2002,Qadry Ismail,IND,32,14,14,0,0,0,0,0,0,0,,0,44,462,10.5,3,WR,64,,64,,73,196,#N/A,#N/A,Newark,NJ,"Newark, NJ",7101,Syracuse,81,101,ACC,11/8/1970,2,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Taj Smith,IND,27,5,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,184,,73,194,6,1,Newark,NJ,"Newark, NJ",7101,Syracuse,81,101,ACC,9/30/1983,0,0,0,4.59,0,0,0,0,35,119,4.5,7.15
2005,Kevin Johnson,DET,29,6,2,0,0,0,0,0,0,0,,0,17,133,7.82,0,WR,13,,120,,71,195,5,11,Trenton,NJ,"Trenton, NJ",8601,Syracuse,81,101,ACC,7/15/1976,2,1999,0,4.41,0,0,0,0,36.5,115,3.86,0
2000,Kaseem Sinceno,CHI,24,11,11,0,0,0,0,0,0,0,,0,23,206,8.96,0,TE,21,,42,,76,259,#N/A,#N/A,New York,NY,"New York, NY",10001,Syracuse,81,101,ACC,3/26/1976,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rob Moore,ARI,31,14,10,0,0,0,0,0,0,0,,0,37,621,16.78,5,WR,92,,50,,75,203,#N/A,#N/A,East Meadow,NY,"East Meadow, NY",11554,Syracuse,81,101,ACC,9/27/1968,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Chris Gedney,ARI,30,13,3,0,0,0,0,0,0,0,,0,10,75,7.5,0,TE,8,,60,,77,258,#N/A,#N/A,Liverpool,NY,"Liverpool, NY",13088,Syracuse,81,101,ACC,8/9/1970,0,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Joe Kowalewski,NYJ,25,13,2,0,0,0,0,0,0,0,,0,5,18,3.6,1,TE,8,,70,,76,250,#N/A,#N/A,Syracuse,NY,"Syracuse, NY",13201,Syracuse,81,101,ACC,11/15/1982,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Daryl Johnston,DAL,33,1,0,0,0,0,0,0,0,0,,0,1,4,4,0,RB,,,144,,74,238,#N/A,#N/A,Youngstown,NY,"Youngstown, NY",14174,Syracuse,81,101,ACC,2/10/1966,2,1989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Rob Konrad,MIA,28,10,1,0,0,0,0,0,2,18,9,0,8,69,8.63,1,RB,15,,95,,75,255,6,3,Rochester,NY,"Rochester, NY",14602,Syracuse,81,101,ACC,11/12/1976,2,1999,0,4.62,0,0,0,21,36,113,0,0
2005,James Mungro,IND,27,12,0,0,0,0,0,0,7,15,2.14,0,3,28,9.33,0,RB,4,,122,,69,214,#N/A,#N/A,East Stroudsburg,PA,"East Stroudsburg, PA",18301,Syracuse,81,101,ACC,2/13/1978,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Curtis Brinkley,SDG,27,10,1,0,0,0,0,0,39,115,2.95,0,12,77,6.42,0,RB,19,,104,,69,208,#N/A,#N/A,Philadelphia,PA,"Philadelphia, PA",19019,Syracuse,81,101,ACC,7/26/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Marvin Harrison,IND,36,15,15,0,0,0,0,0,0,0,,0,60,636,10.6,5,WR,94,,42,,73,175,#N/A,#N/A,Philadelphia,PA,"Philadelphia, PA",19019,Syracuse,81,101,ACC,8/25/1972,1,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Chris Davis,SEA,24,1,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,163,,71,235,5,10,Tampa,FL,"Tampa, FL",33601,Syracuse,81,101,ACC,11/8/1979,5,2003,0,4.5,0,0,0,35.5,35.5,115,4.14,6.66
2006,Dee Brown,KAN,28,15,0,0,0,0,0,0,10,24,2.4,0,1,5,5,0,RB,3,,134,,70,209,#N/A,#N/A,Clearwater,FL,"Clearwater, FL",33755,Syracuse,81,101,ACC,5/12/1978,6,2001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Delone Carter,IND,25,10,0,0,0,0,0,0,32,122,3.81,3,1,13,13,0,RB,32,,84,,69,225,#N/A,#N/A,Akron,OH,"Akron, OH",44301,Syracuse,81,101,ACC,8/12/2000,4,2011,0,4.54,0,31,9.5,27,37,120,4.07,6.92
2011,Donovan McNabb,MIN,35,6,6,94,156,1026,4,2,14,59,4.21,1,0,0,,0,QB,65,,35,,74,240,6,2,Chicago,IL,"Chicago, IL",60290,Syracuse,81,101,ACC,11/25/1976,1,1999,14,4.64,0,0,0,0,33,117,4.38,7.3
2013,Tony Fiammetta,CHI,27,16,7,0,0,0,0,0,0,0,,0,4,57,14.25,0,RB,6,,124,,73,246,#N/A,#N/A,Kaneohe,HI,"Kaneohe, HI",96744,Syracuse,81,101,ACC,8/22/1986,4,2009,0,4.58,0,0,0,30,34,112,4.49,7.31
2004,John Stone,OAK,25,4,0,0,0,0,0,0,0,0,,0,3,80,26.67,0,WR,8,,125,,71,180,#N/A,#N/A,Somers Point,NJ,"Somers Point, NJ",8244,Wake Forest,86,96,ACC,7/7/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Ricky Proehl,IND,38,2,1,0,0,0,0,0,0,0,,0,3,30,10,0,WR,3,,141,,73,190,#N/A,#N/A,Bronx,NY,"Bronx, NY",10451,Wake Forest,86,96,ACC,3/7/1968,3,1990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Walter Rasby,NOR,31,16,7,0,0,0,0,0,0,0,,0,6,55,9.17,0,TE,6,,75,,75,252,#N/A,#N/A,Washington,NC,"Washington, NC",27889,Wake Forest,86,96,ACC,9/7/1972,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Kenny Moore,IND,25,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,182,,71,199,#N/A,#N/A,Charlotte,NC,"Charlotte, NC",28201,Wake Forest,86,96,ACC,2/19/1985,5,2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Ovie Mughelli,ATL,31,7,5,0,0,0,0,0,2,1,0.5,0,4,25,6.25,2,RB,15,,101,,73,260,6,1,Charleston,SC,"Charleston, SC",29401,Wake Forest,86,96,ACC,6/10/1980,4,2003,0,4.73,0,0,0,0,31.5,114,4.32,7.78
2007,Chris Davis,NYJ,24,2,0,0,0,0,0,0,1,3,3,0,1,3,3,0,WR,1,,152,,12,180,5,10,Atlanta,GA,"Atlanta, GA",30301,Wake Forest,86,96,ACC,12/1/1983,0,0,0,4.5,0,0,0,0,35.5,115,4.14,6.66
2010,Desmond Clark,CHI,33,5,0,0,0,0,0,0,0,0,,0,1,12,12,0,TE,1,,90,,75,255,6,3,Bartow,FL,"Bartow, FL",33830,Wake Forest,86,96,ACC,4/20/1977,6,1999,0,4.86,0,0,0,12,31,113,4.35,7.3
2012,Chris Givens,STL,23,15,12,0,0,0,0,0,3,12,4,0,42,698,16.62,3,WR,91,,50,,71,198,#N/A,#N/A,Jackson,MS,"Jackson, MS",39201,Wake Forest,86,96,ACC,7/16/2000,4,2012,0,4.35,0,31.25,8.25,19,33.5,118,4.23,6.97
2004,Dustin Lyman,CHI,28,16,10,0,0,0,0,0,0,0,,0,11,73,6.64,1,TE,13,,60,,76,245,6,4,Boulder,CO,"Boulder, CO",80301,Wake Forest,86,96,ACC,8/5/1976,3,0,0,4.7,0,0,0,22,35,118,4.06,6.86
2010,Rashawn Jackson,CAR,23,2,1,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,152,,73,243,6,1,Jersey City,NJ,"Jersey City, NJ",7097,Virginia,90,95,ACC,1/15/1987,0,0,0,4.75,0,33,9.875,0,34.5,117,0,0
2008,Alvin Pearman,JAX,26,1,0,0,0,0,0,0,0,0,,0,1,23,23,1,RB,8,,107,,69,208,5,10,Princeton,NJ,"Princeton, NJ",8540,Virginia,90,95,ACC,8/10/1982,4,2005,0,4.63,0,0,0,24,34,114,4.1,7.07
2012,Jason Snelling,ATL,29,16,2,0,0,0,0,0,18,63,3.5,0,31,203,6.55,1,RB,31,,85,,71,235,5,11,Toms River,NJ,"Toms River, NJ",8753,Virginia,90,95,ACC,8/22/2000,7,2007,0,4.79,0,0,0,0,30,111,4.38,7.06
2010,Jonathan Stupar,BUF,26,16,3,0,0,0,0,0,0,0,,0,12,111,9.25,0,TE,11,,61,,75,250,#N/A,#N/A,State College,PA,"State College, PA",16801,Virginia,90,95,ACC,7/27/1984,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Arlen Harris,DET,26,10,3,0,0,0,0,0,49,158,3.22,1,18,132,7.33,0,RB,35,,66,,70,212,#N/A,#N/A,Chester,PA,"Chester, PA",19013,Virginia,90,95,ACC,4/22/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Matt Schaub,HOU,31,16,16,350,544,4008,22,12,21,-9,-0.43,0,1,-6,-6,0,QB,225,,17,,77,0,6,6,West Chester,PA,"West Chester, PA",19380,Virginia,90,95,ACC,1/0/00,3,2004,30,5.04,0,0,0,0,30.5,110,4.66,7.65
2002,Casey Crawford,TAM,25,4,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,108,,78,255,6,6,Washington,DC,"Washington, DC",20001,Virginia,90,95,ACC,8/1/1977,0,0,0,4.83,0,0,0,0,0,0,0,0
2004,Bill Baber,TAM,25,1,0,0,0,0,0,0,0,0,,0,1,7,7,0,TE,1,,100,,75,255,#N/A,#N/A,Charlottesville,VA,"Charlottesville, VA",22901,Virginia,90,95,ACC,1/17/1979,5,2001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Billy McMullen,SEA,28,4,2,0,0,0,0,0,0,0,,0,7,124,17.71,0,WR,12,,121,,76,210,#N/A,#N/A,Richmond,VA,"Richmond, VA",23218,Virginia,90,95,ACC,3/8/1980,3,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Patrick Estes,SFO,24,1,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,109,,78,268,#N/A,#N/A,Richmond,VA,"Richmond, VA",23218,Virginia,90,95,ACC,2/4/1983,7,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Chris Luzar,JAX,24,11,1,0,0,0,0,0,0,0,,0,3,30,10,0,TE,3,,81,,79,262,6,7,Newport News,VA,"Newport News, VA",23601,Virginia,90,95,ACC,2/12/1979,4,2002,0,4.76,0,0,0,32.5,32.5,115,4.17,6.84
2006,Aaron Brooks,OAK,30,8,8,110,192,1105,3,8,22,124,5.64,0,0,0,,0,QB,53,,41,,76,0,6,4,Newport News,VA,"Newport News, VA",23601,Virginia,90,95,ACC,3/24/1976,4,1999,17,4.6,0,0,0,0,35.5,120,4.29,7.52
2002,Terry Kirby,OAK,32,6,0,0,1,0,0,0,16,51,3.19,0,17,115,6.76,1,RB,23,,81,,73,221,#N/A,#N/A,Hampton,VA,"Hampton, VA",23630,Virginia,90,95,ACC,1/20/1970,3,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Tiki Barber,NYG,31,16,16,0,0,0,0,0,327,1662,5.08,5,58,465,8.02,0,RB,243,82,7,9,70,200,#N/A,#N/A,Roanoke,VA,"Roanoke, VA",24001,Virginia,90,95,ACC,4/7/1975,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Thomas Jones,KAN,33,16,8,0,0,0,0,0,153,478,3.12,0,5,43,8.6,0,RB,52,,59,,12,220,#N/A,#N/A,Big Stone Gap,VA,"Big Stone Gap, VA",24219,Virginia,90,95,ACC,8/19/1978,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Cedric Peerman,CIN,26,14,1,0,0,0,0,0,36,258,7.17,1,9,85,9.44,0,RB,40,,71,,69,210,5,10,Lynchburg,VA,"Lynchburg, VA",24501,Virginia,90,95,ACC,7/28/2000,6,2009,0,4.34,0,0,0,27,40,117,4.29,6.99
2002,Herman Moore,NYG,33,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,142,,76,210,#N/A,#N/A,Danville,VA,"Danville, VA",24540,Virginia,90,95,ACC,10/20/1969,1,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Tyrone Davis,GNB,30,9,2,0,0,0,0,0,0,0,,0,9,107,11.89,1,TE,17,,48,,76,240,#N/A,#N/A,Halifax,VA,"Halifax, VA",24558,Virginia,90,95,ACC,6/30/1972,4,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Heath Miller,PIT,30,15,15,0,0,0,0,0,0,0,,0,71,816,11.49,8,TE,132,35,4,48,77,256,#N/A,#N/A,Swords Creek,VA,"Swords Creek, VA",24649,Virginia,90,95,ACC,9/12/2000,1,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Germane Crowell,DET,26,10,5,0,0,0,0,0,0,0,,0,22,201,9.14,1,WR,26,,101,,75,213,#N/A,#N/A,Winston-Salem,NC,"Winston-Salem, NC",27151,Virginia,90,95,ACC,9/13/1976,2,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Charles Kirby,TAM,26,6,2,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,141,,73,249,#N/A,#N/A,Cairo,GA,"Cairo, GA",39827,Virginia,90,95,ACC,11/27/1974,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Patrick Jeffers,CAR,28,9,0,0,0,0,0,0,0,0,,0,14,127,9.07,0,WR,13,,111,,75,217,#N/A,#N/A,Fort Campbell,KY,"Fort Campbell, KY",42223,Virginia,90,95,ACC,2/2/1973,5,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Tom Santi,IND,24,3,2,0,0,0,0,0,0,0,,0,8,107,13.38,0,TE,11,,61,,77,250,6,4,New Orleans,LA,"New Orleans, LA",70112,Virginia,90,95,ACC,11/22/1985,6,2008,0,4.8,0,0,0,14,36,121,4.27,7.08
2012,Kevin Ogletree,DAL,25,15,1,0,0,0,0,0,2,9,4.5,0,32,436,13.63,4,WR,69,,64,,74,190,#N/A,#N/A,Queens,NY,"Queens, NY",11427,Virginia,90,95,ACC,7/8/2000,0,0,0,4.36,0,31,9,0,36,122,4.08,6.67
2007,Marques Hagans,STL,25,4,1,0,0,0,0,0,2,-4,-2,0,8,101,12.63,0,WR,10,,128,,12,202,5,10,Newort News,VA,"Newort News, VA",#N/A,Virginia,90,95,ACC,12/29/1982,5,2006,0,4.67,0,0,0,0,35,114,4.43,7.03
2012,John Phillips,DAL,25,16,9,0,0,0,0,0,0,0,,0,8,55,6.88,1,TE,12,,57,,77,250,#N/A,#N/A,Lowmoor,VA,"Lowmoor, VA",#N/A,Virginia,90,95,ACC,9/6/2000,6,2009,0,4.78,0,0,0,20,33.5,112,4.27,6.84
2012,Andre Brown,NYG,26,10,2,0,0,0,0,0,73,385,5.27,8,12,86,7.17,0,RB,97,,31,,73,224,6,1,Baltimore,MD,"Baltimore, MD",21201,North Carolina St.,98,88,ACC,8/11/2000,4,2009,0,4.37,0,0,0,24,37,115,4.33,7.35
2009,Torry Holt,JAX,33,15,12,0,0,0,0,0,0,0,,0,51,722,14.16,0,WR,72,,62,,73,190,6,1,Greensboro,NC,"Greensboro, NC",27395,North Carolina St.,98,88,ACC,6/5/1976,1,1999,0,4.44,1.57,0,0,0,37,118,0,0
2012,T.J. Graham,BUF,23,15,11,0,0,0,0,0,1,5,5,0,31,322,10.39,1,WR,39,,99,,71,188,5,11,Raleigh,NC,"Raleigh, NC",27601,North Carolina St.,98,88,ACC,7/6/2000,3,2012,0,4.34,1.47,32.75,9,8,33.5,120,4.18,6.77
2008,Koren Robinson,SEA,28,12,12,0,0,0,0,0,1,-4,-4,0,31,400,12.9,2,WR,52,,74,,73,205,6,2,Belmont,NC,"Belmont, NC",28012,North Carolina St.,98,88,ACC,3/19/1980,1,2001,0,4.61,0,0,0,0,38.5,123,0,0
2001,Chris Coleman,TEN,24,16,0,0,0,0,0,0,0,0,,0,1,19,19,0,WR,2,,140,,73,202,6,1,Shelby,NC,"Shelby, NC",28150,North Carolina St.,98,88,ACC,5/8/1977,0,0,0,4.61,0,0,0,32.5,32.5,110,4.1,6.79
